ClientDeviceType,ClientIP,ClientIPClass,ClientStatus,ClientRequestBytes,ClientRequestReferer,ClientRequestURI,ClientRequestUserAgent,ClientSrcPort,EdgeServerIP,EdgeStartTimestamp,DestinationIP,OriginResponseBytes,OriginResponseTime
desktop,192.168.60.189,noRecord,200,538,graylog.com,/search,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3 like Mac OS X) AppleWebKit/603.1.23 (KHTML, like Gecko) Version/10.0 Mobile/14E5239e Safari/602.1When the Request Desktop Site feature is enabled, the Desktop Safari UA is sent:",149,10.0.212.176,1576929197,172.16.99.183,739,87000000
desktop,192.168.211.15,noRecord,550,63,torch.sh,/search,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",450,10.0.88.33,1576929197,172.16.45.194,957,398000000
desktop,192.168.242.236,noRecord,401,130,graylog.com,/search,"Mozilla/5.0 (iPad; CPU OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1",689,10.0.179.42,1576929197,172.16.129.142,212,304000000
desktop,192.168.47.48,noRecord,200,521,graylog.com,/search,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/603.3.8 (KHTML, like Gecko) Version/10.0 Mobile/14G60 Safari/602.1",178,10.0.97.233,1576929197,172.16.25.209,931,340000000
mobile,192.168.10.204,noRecord,200,836,graylog.org,/search,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:53.0) Gecko/20100101 Firefox/53.0,994,10.0.167.238,1576929197,172.16.138.152,356,452000000
mobile,192.168.17.38,noRecord,200,858,torch.sh,/search,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3 like Mac OS X) AppleWebKit/603.1.23 (KHTML, like Gecko) Version/10.0 Mobile/14E5239e Safari/602.1When the Request Desktop Site feature is enabled, the Desktop Safari UA is sent:",963,10.0.23.223,1576929197,172.16.111.205,178,375000000
desktop,192.168.203.155,noRecord,200,683,torch.sh,/search,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3 like Mac OS X) AppleWebKit/603.1.23 (KHTML, like Gecko) Version/10.0 Mobile/14E5239e Safari/602.1When the Request Desktop Site feature is enabled, the Desktop Safari UA is sent:",374,10.0.163.125,1576929197,172.16.89.130,52,422000000
mobile,192.168.41.35,noRecord,200,625,torch.sh,/search,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1 Safari/605.1.15",223,10.0.58.46,1576929197,172.16.43.244,529,76000000
desktop,192.168.233.147,noRecord,200,297,torch.sh,/search,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) CriOS/56.0.2924.75 Mobile/14E5239e Safari/602.1",721,10.0.179.170,1576929197,172.16.34.209,890,143000000
desktop,192.168.241.107,noRecord,200,1005,torch.sh,/search,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_6; en-en) AppleWebKit/533.19.4 (KHTML, like Gecko) Version/5.0.3 Safari/533.19.4",378,10.0.198.153,1576929197,172.16.108.156,385,229000000
mobile,192.168.159.39,noRecord,200,971,graylog.org,/search,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393",518,10.0.72.152,1576929197,172.16.95.26,630,316000000
mobile,192.168.28.55,noRecord,200,212,graylog.com,/search,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1",180,10.0.55.190,1576929197,172.16.50.165,1024,150000000
mobile,192.168.40.14,noRecord,200,60,graylog.org,/search,"Mozilla/5.0 (Linux; <Android Version>; <Build Tag etc.>) AppleWebKit/<WebKit Rev> (KHTML, like Gecko) Chrome/<Chrome Rev> Mobile Safari/<WebKit Rev>",841,10.0.32.191,1576929197,172.16.216.239,399,437000000
desktop,192.168.52.77,noRecord,200,624,graylog.org,/search,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",766,10.0.167.122,1576929197,172.16.235.54,485,257000000
mobile,192.168.83.192,noRecord,404,674,graylog.org,/search,"Mozilla/5.0 (iPad; CPU OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1",695,10.0.153.181,1576929197,172.16.215.95,702,185000000
desktop,192.168.249.14,noRecord,302,242,torch.sh,/search,"Mozilla/5.0 (compatible, MSIE 11, Windows NT 6.3; Trident/7.0; rv:11.0) like Gecko",966,10.0.198.95,1576929197,172.16.93.110,176,451000000
desktop,192.168.113.187,noRecord,300,126,graylog.com,/search,"Mozilla/5.0 (iPad; CPU OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1",196,10.0.132.35,1576929197,172.16.245.194,316,309000000
mobile,192.168.104.84,noRecord,200,529,torch.sh,/search,"Mozilla/5.0 (iPad; CPU OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1",245,10.0.10.193,1576929197,172.16.49.50,496,365000000
mobile,192.168.112.164,noRecord,200,113,graylog.com,/search,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",476,10.0.212.69,1576929197,172.16.220.103,564,12000000
desktop,192.168.228.128,noRecord,200,775,graylog.com,/search,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/603.3.8 (KHTML, like Gecko) Version/10.0 Mobile/14G60 Safari/602.1",511,10.0.51.81,1576929197,172.16.79.31,493,172000000
mobile,192.168.165.196,noRecord,200,586,graylog.com,/search,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) CriOS/56.0.2924.75 Mobile/14E5239e Safari/602.1",263,10.0.111.151,1576929197,172.16.218.128,483,66000000
desktop,192.168.69.101,noRecord,410,158,torch.sh,/search,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:53.0) Gecko/20100101 Firefox/53.0,864,10.0.92.125,1576929197,172.16.245.126,771,429000000
desktop,192.168.42.151,noRecord,200,261,graylog.org,/search,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393",444,10.0.19.184,1576929197,172.16.247.147,446,57000000
mobile,192.168.214.245,noRecord,200,737,graylog.org,/search,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_6; en-en) AppleWebKit/533.19.4 (KHTML, like Gecko) Version/5.0.3 Safari/533.19.4",886,10.0.57.231,1576929197,172.16.73.220,843,149000000
mobile,192.168.208.20,noRecord,200,152,graylog.org,/search,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/8.0.7 Safari/600.7.12",843,10.0.17.96,1576929197,172.16.217.60,543,360000000
mobile,192.168.218.183,noRecord,200,330,graylog.org,/search,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:53.0) Gecko/20100101 Firefox/53.0,526,10.0.117.235,1576929197,172.16.93.89,309,433000000
desktop,192.168.11.107,noRecord,200,580,torch.sh,/search,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1),482,10.0.82.64,1576929197,172.16.46.212,621,35000000
desktop,192.168.104.239,noRecord,503,153,graylog.org,/search,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.1 Safari/605.1.15",735,10.0.105.126,1576929197,172.16.95.13,316,288000000
desktop,192.168.98.164,noRecord,200,792,torch.sh,/search,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) CriOS/56.0.2924.75 Mobile/14E5239e Safari/602.1",233,10.0.20.167,1576929197,172.16.109.164,571,273000000
desktop,192.168.180.201,noRecord,200,539,graylog.com,/search,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/8.0.7 Safari/600.7.12",494,10.0.135.146,1576929197,172.16.194.171,821,337000000
mobile,192.168.43.189,noRecord,200,922,torch.sh,/search,"Mozilla/5.0 (iPad; CPU OS 8_4_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12H321 Safari/600.1.4",537,10.0.163.135,1576929197,172.16.219.57,387,471000000
mobile,192.168.147.232,noRecord,200,889,graylog.com,/search,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/8.0.7 Safari/600.7.12",216,10.0.83.143,1576929197,172.16.237.23,1017,211000000
desktop,192.168.79.160,noRecord,200,83,torch.sh,/search,"Mozilla/5.0 (iPad; CPU OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1",481,10.0.152.60,1576929197,172.16.41.197,998,46000000
desktop,192.168.45.248,noRecord,200,623,torch.sh,/search,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0; MDDCJS),571,10.0.192.185,1576929197,172.16.161.96,932,72000000
desktop,192.168.82.116,noRecord,200,978,graylog.com,/search,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393",878,10.0.159.53,1576929197,172.16.164.129,451,178000000
desktop,192.168.106.233,noRecord,200,679,graylog.org,/search,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),662,10.0.137.128,1576929197,172.16.235.174,181,74000000
mobile,192.168.41.41,noRecord,200,217,graylog.org,/search,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393",114,10.0.183.97,1576929197,172.16.166.236,385,458000000
desktop,192.168.98.120,noRecord,200,708,torch.sh,/search,"Mozilla/5.0 (compatible, MSIE 11, Windows NT 6.3; Trident/7.0; rv:11.0) like Gecko",852,10.0.97.70,1576929197,172.16.37.107,516,298000000
mobile,192.168.241.122,noRecord,200,641,torch.sh,/search,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3 like Mac OS X) AppleWebKit/603.1.23 (KHTML, like Gecko) Version/10.0 Mobile/14E5239e Safari/602.1When the Request Desktop Site feature is enabled, the Desktop Safari UA is sent:",837,10.0.140.142,1576929197,172.16.47.242,510,202000000
mobile,192.168.141.143,noRecord,200,795,graylog.org,/search,"Mozilla/5.0 (Linux; Android 4.0.4; Galaxy Nexus Build/IMM76B) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.133 Mobile Safari/535.19",1010,10.0.47.127,1576929197,172.16.248.67,714,400000000
mobile,192.168.26.189,noRecord,200,804,torch.sh,/search,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393",59,10.0.146.51,1576929197,172.16.171.211,336,231000000
desktop,192.168.170.108,noRecord,200,423,graylog.com,/search,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1",1017,10.0.147.152,1576929197,172.16.224.181,683,127000000
desktop,192.168.228.116,noRecord,200,805,torch.sh,/search,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",398,10.0.185.120,1576929197,172.16.159.102,812,224000000
desktop,192.168.155.92,noRecord,200,93,graylog.org,/search,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0;  Trident/5.0),128,10.0.21.55,1576929197,172.16.42.25,867,476000000
mobile,192.168.238.198,noRecord,200,465,graylog.org,/search,"Mozilla/5.0 (Linux; Android 4.0.4; Galaxy Nexus Build/IMM76B) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.133 Mobile Safari/535.19",268,10.0.148.103,1576929197,172.16.95.18,657,64000000
desktop,192.168.117.12,noRecord,200,353,graylog.org,/search,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0; MDDCJS),507,10.0.150.202,1576929197,172.16.152.103,427,313000000
desktop,192.168.200.128,noRecord,200,583,graylog.org,/search,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1",840,10.0.252.228,1576929197,172.16.41.78,116,467000000
mobile,192.168.189.58,noRecord,200,575,graylog.com,/search,"Mozilla/5.0 (compatible, MSIE 11, Windows NT 6.3; Trident/7.0; rv:11.0) like Gecko",67,10.0.128.24,1576929197,172.16.248.130,429,84000000
desktop,192.168.163.57,noRecord,410,461,graylog.com,/search,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1 Safari/605.1.15",198,10.0.79.133,1576929197,172.16.26.183,549,473000000
desktop,192.168.18.229,noRecord,200,406,torch.sh,/search,"Mozilla/5.0 (Linux; Android 4.0.4; Galaxy Nexus Build/IMM76B) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.133 Mobile Safari/535.19",892,10.0.155.112,1576929197,172.16.202.254,886,302000000
desktop,192.168.105.56,noRecord,200,932,graylog.org,/search,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1 Safari/605.1.15",636,10.0.245.182,1576929197,172.16.62.223,800,194000000
desktop,192.168.119.126,noRecord,200,489,graylog.org,/search,"Mozilla/5.0 (compatible, MSIE 11, Windows NT 6.3; Trident/7.0; rv:11.0) like Gecko",722,10.0.29.121,1576929197,172.16.63.194,916,475000000
mobile,192.168.56.216,noRecord,200,698,torch.sh,/search,"Mozilla/5.0 (iPad; CPU OS 8_4_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12H321 Safari/600.1.4",506,10.0.70.152,1576929197,172.16.93.77,138,368000000
mobile,192.168.39.125,noRecord,300,78,graylog.org,/search,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0;  Trident/5.0),1006,10.0.154.57,1576929197,172.16.58.253,168,47000000
desktop,192.168.65.220,noRecord,200,569,graylog.org,/search,"Mozilla/5.0 (Linux; Android 4.0.4; Galaxy Nexus Build/IMM76B) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.133 Mobile Safari/535.19",450,10.0.202.144,1576929197,172.16.91.69,117,345000000
desktop,192.168.19.114,noRecord,410,523,graylog.org,/search,"Mozilla/5.0 (iPad; CPU OS 8_4_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12H321 Safari/600.1.4",935,10.0.194.148,1576929197,172.16.78.33,833,312000000
mobile,192.168.31.53,noRecord,200,706,graylog.org,/search,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1",116,10.0.130.39,1576929197,172.16.152.215,1001,44000000
mobile,192.168.69.187,noRecord,200,651,torch.sh,/search,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),906,10.0.25.183,1576929197,172.16.175.135,680,468000000
desktop,192.168.202.95,noRecord,503,572,graylog.org,/search,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1),946,10.0.180.70,1576929197,172.16.65.239,570,24000000
desktop,192.168.178.247,noRecord,200,494,torch.sh,/search,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),746,10.0.79.159,1576929197,172.16.55.69,72,483000000
desktop,192.168.23.45,noRecord,200,727,graylog.com,/search,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.1 Safari/605.1.15",374,10.0.244.107,1576929197,172.16.162.74,923,372000000
desktop,192.168.183.221,noRecord,200,879,graylog.com,/search,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",816,10.0.108.16,1576929197,172.16.69.29,142,338000000
mobile,192.168.58.113,noRecord,200,874,torch.sh,/search,"Mozilla/5.0 (compatible, MSIE 11, Windows NT 6.3; Trident/7.0; rv:11.0) like Gecko",299,10.0.97.18,1576929197,172.16.245.77,427,295000000
desktop,192.168.50.135,noRecord,200,290,graylog.org,/search,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0;  Trident/5.0),660,10.0.24.112,1576929197,172.16.39.129,995,182000000
desktop,192.168.231.96,noRecord,401,424,graylog.com,/search,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) CriOS/56.0.2924.75 Mobile/14E5239e Safari/602.1",600,10.0.170.181,1576929197,172.16.218.116,798,181000000
desktop,192.168.133.86,noRecord,200,91,torch.sh,/search,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",459,10.0.22.98,1576929197,172.16.241.27,954,206000000
desktop,192.168.30.187,noRecord,200,471,torch.sh,/search,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_6; en-en) AppleWebKit/533.19.4 (KHTML, like Gecko) Version/5.0.3 Safari/533.19.4",978,10.0.105.241,1576929197,172.16.205.133,344,120000000
desktop,192.168.72.166,noRecord,200,403,graylog.com,/search,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393",266,10.0.241.43,1576929197,172.16.220.92,1024,293000000
mobile,192.168.80.71,noRecord,200,258,graylog.com,/search,"Mozilla/5.0 (iPad; CPU OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1",596,10.0.41.205,1576929197,172.16.65.40,471,344000000
mobile,192.168.22.241,noRecord,200,620,graylog.org,/search,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1),733,10.0.218.81,1576929197,172.16.22.39,594,65000000
desktop,192.168.25.137,noRecord,200,951,graylog.org,/search,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1),344,10.0.20.51,1576929197,172.16.234.134,903,474000000
desktop,192.168.150.110,noRecord,200,573,torch.sh,/search,"Mozilla/5.0 (Linux; Android 4.0.4; Galaxy Nexus Build/IMM76B) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.133 Mobile Safari/535.19",411,10.0.99.109,1576929197,172.16.196.23,342,82000000
mobile,192.168.177.148,noRecord,200,910,graylog.com,/search,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) CriOS/56.0.2924.75 Mobile/14E5239e Safari/602.1",479,10.0.13.102,1576929197,172.16.46.50,263,155000000
mobile,192.168.210.199,noRecord,302,593,torch.sh,/search,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/603.3.8 (KHTML, like Gecko) Version/10.0 Mobile/14G60 Safari/602.1",569,10.0.174.208,1576929197,172.16.186.49,1019,228000000
desktop,192.168.244.134,noRecord,200,417,graylog.org,/search,"Mozilla/5.0 (Linux; <Android Version>; <Build Tag etc.>) AppleWebKit/<WebKit Rev>(KHTML, like Gecko) Chrome/<Chrome Rev> Safari/<WebKit Rev>",597,10.0.77.44,1576929197,172.16.165.43,215,205000000
desktop,192.168.253.187,noRecord,501,249,torch.sh,/search,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",796,10.0.156.137,1576929197,172.16.26.166,867,19000000
desktop,192.168.12.192,noRecord,200,958,graylog.org,/search,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",616,10.0.58.186,1576929197,172.16.254.42,917,348000000
desktop,192.168.45.210,noRecord,200,537,torch.sh,/search,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:53.0) Gecko/20100101 Firefox/53.0,285,10.0.147.125,1576929197,172.16.38.126,122,107000000
desktop,192.168.29.248,noRecord,200,654,graylog.org,/search,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.1 Safari/605.1.15",116,10.0.188.198,1576929197,172.16.251.162,633,298000000
desktop,192.168.232.129,noRecord,200,812,graylog.org,/search,"Mozilla/5.0 (iPad; CPU OS 8_4_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12H321 Safari/600.1.4",810,10.0.123.126,1576929197,172.16.236.44,706,200000000
mobile,192.168.30.117,noRecord,200,270,graylog.com,/search,"Mozilla/5.0 (iPad; CPU OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1",676,10.0.111.127,1576929197,172.16.74.157,745,407000000
desktop,192.168.126.35,noRecord,200,785,graylog.com,/search,"Mozilla/5.0 (Linux; <Android Version>; <Build Tag etc.>) AppleWebKit/<WebKit Rev> (KHTML, like Gecko) Chrome/<Chrome Rev> Mobile Safari/<WebKit Rev>",220,10.0.217.239,1576929197,172.16.166.27,1010,459000000
desktop,192.168.219.57,noRecord,200,710,torch.sh,/search,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/603.3.8 (KHTML, like Gecko) Version/10.0 Mobile/14G60 Safari/602.1",575,10.0.210.214,1576929197,172.16.213.38,1023,370000000
mobile,192.168.135.236,noRecord,200,528,graylog.org,/search,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0; MDDCJS),788,10.0.148.221,1576929197,172.16.100.243,642,144000000
desktop,192.168.91.254,noRecord,200,573,graylog.org,/search,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1",274,10.0.14.105,1576929197,172.16.224.167,554,321000000
desktop,192.168.171.15,noRecord,200,266,torch.sh,/search,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393",515,10.0.26.218,1576929197,172.16.136.89,109,118000000
mobile,192.168.87.30,noRecord,200,794,graylog.com,/search,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),420,10.0.41.217,1576929197,172.16.147.227,697,296000000
desktop,192.168.87.75,noRecord,200,778,torch.sh,/search,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",492,10.0.185.14,1576929197,172.16.32.209,133,96000000
desktop,192.168.237.181,noRecord,200,927,torch.sh,/search,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",564,10.0.56.97,1576929197,172.16.101.17,571,296000000
mobile,192.168.239.245,noRecord,200,632,graylog.org,/search,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/8.0.7 Safari/600.7.12",264,10.0.130.188,1576929197,172.16.122.29,616,435000000
